@id,dct:created,dct:description,dct:modified,rdf:type,rdfs:label,rdfs:seeAlso,skos:altLabel,skos:broader,skos:closeMatch,skos:definition,skos:inScheme,skos:narrower,skos:prefLabel,skos:related,skos:relatedMatch,skos:topConceptOf
<http://registry.it.csiro.au/def/agldwg/agift/agreement-bargaining-processes>,'2004-08-08'^^xsd:date,"'Negotiating agreements to regulate the conduct of employer and employees across an organisation, or between an employer and an individual employee. Includes consultation between parties, drafting of agreements and liaison with bargaining agents or advisors.'@en",'2004-08-26'^^xsd:date,skos:Concept,'Agreement bargaining processes'@en,,'Enterprise bargaining processes'@en|'Certified agreement negotiation'@en,<http://registry.it.csiro.au/def/agldwg/agift/workplace-agreement-processes>,,"'Negotiating agreements to regulate the conduct of employer and employees across an organisation, or between an employer and an individual employee. Includes consultation between parties, drafting of agreements and liaison with bargaining agents or advisors.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Agreement bargaining processes'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/agreement-dispute-mediation>,'2003-08-26'^^xsd:date,"'Hearing disagreements between parties to a workplace agreement. Promoting conciliation and offering independent arbitration. Providing access to advice or representation. Managing resolution processes.

See also EMPLOYMENT - Human resources development - Workplace equity and justice programs: for resolving disputes with respect to harassment or discrimination.

See also EMPLOYMENT - Industrial awards and conditions: for disputes between parties operating under an award.'@en",'2015-06-11T06:51:39Z'^^xsd:dateTime,skos:Concept,'Agreement dispute mediation'@en,,'Workplace agreement disputes'@en|'Certified agreement disputes'@en,<http://registry.it.csiro.au/def/agldwg/agift/workplace-agreement-processes>,,"'Hearing disagreements between parties to a workplace agreement. Promoting conciliation and offering independent arbitration. Providing access to advice or representation. Managing resolution processes.

See also EMPLOYMENT - Human resources development - Workplace equity and justice programs: for resolving disputes with respect to harassment or discrimination.

See also EMPLOYMENT - Industrial awards and conditions: for disputes between parties operating under an award.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Agreement dispute mediation'@en,<http://registry.it.csiro.au/def/agldwg/agift/dispute-mediation-programs>,,
<http://registry.it.csiro.au/def/agldwg/agift/agricultural-industry>,'2003-08-25'^^xsd:date,"'Regulating crop and livestock farming industries. Administering quotas and issuing licenses for controlled activities. Certifying products and production methods. Conducting assessments and inspections to ensure compliance with standards and policy. Applying penalties for breaches of regulations.

See also PRIMARY INDUSTRIES - Marine and rural support - Horticultural industry: for programs to support and develop crop farming industries.

See also PRIMARY INDUSTRIES - Marine and rural support - Pastoral industry: for programs to support and develop livestock industries.

See also PRIMARY INDUSTRIES - Marine and rural support - Viticultural industry: for programs to support and develop grape growing and wine making industries.

See also SCIENCE - Agricultural sciences: for research into farming practices.'@en",'2015-06-11T06:52:15Z'^^xsd:dateTime,skos:Concept,'Agricultural industry'@en,<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=04.2.1>,'Sustainable agriculture'@en|'Pastoral lease registration'@en|'Animal food supplements'@en|'Crop farming regulation'@en|'Farming industries regulation'@en|'Livestock industries regulation'@en,<http://registry.it.csiro.au/def/agldwg/agift/marine-and-rural-regulation>,,"'Regulating crop and livestock farming industries. Administering quotas and issuing licenses for controlled activities. Certifying products and production methods. Conducting assessments and inspections to ensure compliance with standards and policy. Applying penalties for breaches of regulations.

See also PRIMARY INDUSTRIES - Marine and rural support - Horticultural industry: for programs to support and develop crop farming industries.

See also PRIMARY INDUSTRIES - Marine and rural support - Pastoral industry: for programs to support and develop livestock industries.

See also PRIMARY INDUSTRIES - Marine and rural support - Viticultural industry: for programs to support and develop grape growing and wine making industries.

See also SCIENCE - Agricultural sciences: for research into farming practices.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Agricultural industry'@en,<http://registry.it.csiro.au/def/agldwg/agift/agricultural-sciences>,<http://unstats.un.org/unsd/cr/references/cofog/version1/04-2-1>,
<http://registry.it.csiro.au/def/agldwg/agift/agricultural-sciences>,'2003-08-25'^^xsd:date,"'Conducting research into forestry, food, fibre and other crops or plants grown for commercial purposes. Providing input into quality control for the processing of agricultural products. Includes scientific advice on soil, weed and pest management, and information on new plant species.

See also ENVIRONMENT - Conservation programs - Soil preservation programs: for activities to improve or restore the quality of agricultural land.

See also PRIMARY INDUSTRIES - Chemical and pesticide regulation: for the registration and use of agricultural chemicals.

See also PRIMARY INDUSTRIES - Marine and rural support - Horticultural industry: for programs to support the commercial production of fruit and vegetables.

See also SCIENCE - Animal and veterinary sciences: for research into livestock health and management.

See also SCIENCE - Biological sciences - Biotechnology development: for research into the development of new plant species.

See also SCIENCE - Biological sciences - Botany: for research into non-commercial plants.

See also SCIENCE - Biological sciences - Genetic engineering: for research into the development of new plant species.'@en",'2015-06-11T07:10:38Z'^^xsd:dateTime,skos:Concept,'Agricultural sciences'@en,<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=04.8.2>,'Farm sciences'@en|'Agricultural research'@en|'Farm research'@en,<http://registry.it.csiro.au/def/agldwg/agift/science>,,"'Conducting research into forestry, food, fibre and other crops or plants grown for commercial purposes. Providing input into quality control for the processing of agricultural products. Includes scientific advice on soil, weed and pest management, and information on new plant species.

See also ENVIRONMENT - Conservation programs - Soil preservation programs: for activities to improve or restore the quality of agricultural land.

See also PRIMARY INDUSTRIES - Chemical and pesticide regulation: for the registration and use of agricultural chemicals.

See also PRIMARY INDUSTRIES - Marine and rural support - Horticultural industry: for programs to support the commercial production of fruit and vegetables.

See also SCIENCE - Animal and veterinary sciences: for research into livestock health and management.

See also SCIENCE - Biological sciences - Biotechnology development: for research into the development of new plant species.

See also SCIENCE - Biological sciences - Botany: for research into non-commercial plants.

See also SCIENCE - Biological sciences - Genetic engineering: for research into the development of new plant species.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Agricultural sciences'@en,<http://registry.it.csiro.au/def/agldwg/agift/agricultural-industry>|<http://registry.it.csiro.au/def/agldwg/agift/forestry-industry>|<http://registry.it.csiro.au/def/agldwg/agift/soil-preservation-programs>|<http://registry.it.csiro.au/def/agldwg/agift/chemical-and-pesticide-regulation>|<http://registry.it.csiro.au/def/agldwg/agift/viticultural-industry>|<http://registry.it.csiro.au/def/agldwg/agift/horticultural-industry>|<http://registry.it.csiro.au/def/agldwg/agift/silvicultural-industry>,<http://unstats.un.org/unsd/cr/references/cofog/version1/04-8-2>,
<http://registry.it.csiro.au/def/agldwg/agift/air-force>,'2004-08-16'^^xsd:date,"'Raising, equipping and maintaining the air capacity of Australia\'s defence forces. Administering Air Force activities, implementing defence policy and coordinating joint defence force operations. Includes on-the-job and basic training of new Air Force recruits.

See also DEFENCE - Australian Defence Forces - Reserves: for activities involving Air Force Reserves.

See also TRANSPORT - Air transport: for regulating the airline industry.'@en",'2015-06-11T04:09:55Z'^^xsd:dateTime,skos:Concept,'Air Force'@en,,'Royal Australian Air Force'@en|'Airforce'@en|'RAAF'@en,<http://registry.it.csiro.au/def/agldwg/agift/australian-defence-forces>,,"'Raising, equipping and maintaining the air capacity of Australia\'s defence forces. Administering Air Force activities, implementing defence policy and coordinating joint defence force operations. Includes on-the-job and basic training of new Air Force recruits.

See also DEFENCE - Australian Defence Forces - Reserves: for activities involving Air Force Reserves.

See also TRANSPORT - Air transport: for regulating the airline industry.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Air Force'@en,<http://registry.it.csiro.au/def/agldwg/agift/air-transport>,,
<http://registry.it.csiro.au/def/agldwg/agift/air-transport>,'2003-08-26'^^xsd:date,"'Regulating the airline industry and developing policy relating to all aspects of private or commercial aviation. Administering air transport standards, security and services and maintaining air transport infrastructure. Includes liaison with other governments and international bodies to negotiate air lanes and airspace jurisdiction.

See also DEFENCE - Australian Defence Forces - Air Force: for the air capability of Australia\'s defence forces.

See also TRANSPORT - Freight movement regulation: for managing the transportation of goods by air.'@en",'2015-06-10T07:29:51Z'^^xsd:dateTime,skos:Concept,'Air transport'@en,<http://unstats.un.org/unsd/cr/registry/regcs.asp?Cl=4&Lg=1&Co=04.5.4>,'Aviation'@en|'Airspace'@en|'Civil aviation'@en|'Aerospace'@en|'Airlines'@en,<http://registry.it.csiro.au/def/agldwg/agift/transport>,<http://unstats.un.org/unsd/cr/references/cofog/version1/04-5-4>,"'Regulating the airline industry and developing policy relating to all aspects of private or commercial aviation. Administering air transport standards, security and services and maintaining air transport infrastructure. Includes liaison with other governments and international bodies to negotiate air lanes and airspace jurisdiction.

See also DEFENCE - Australian Defence Forces - Air Force: for the air capability of Australia\'s defence forces.

See also TRANSPORT - Freight movement regulation: for managing the transportation of goods by air.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/airport-services>|<http://registry.it.csiro.au/def/agldwg/agift/aircraft-standards>|<http://registry.it.csiro.au/def/agldwg/agift/air-transport-safety>,'Air transport'@en,<http://registry.it.csiro.au/def/agldwg/agift/air-force>,,
<http://registry.it.csiro.au/def/agldwg/agift/air-transport-safety>,'2003-08-26'^^xsd:date,"'Regulating private and commercial aviation activities to improve security and reduce the risk of accidents or emergencies. Investigating accidents and incidents. Monitoring compliance with in-flight safety standards and regulations for security screening procedures. Includes training and advice, consultation and inspection services and cooperation on aviation safety issues across jurisdictions.

See also TRANSPORT - Air transport - Aircraft standards: for regulating the safe design, maintenance and operation of aircraft.

See also TRANSPORT - Air transport - Airport services: for air navigation support.'@en",'2015-06-11T04:10:29Z'^^xsd:dateTime,skos:Concept,'Air transport safety'@en,,'Safety investigation'@en|'Accident investigation'@en|'Airport security'@en|'Air safety'@en,<http://registry.it.csiro.au/def/agldwg/agift/air-transport>,,"'Regulating private and commercial aviation activities to improve security and reduce the risk of accidents or emergencies. Investigating accidents and incidents. Monitoring compliance with in-flight safety standards and regulations for security screening procedures. Includes training and advice, consultation and inspection services and cooperation on aviation safety issues across jurisdictions.

See also TRANSPORT - Air transport - Aircraft standards: for regulating the safe design, maintenance and operation of aircraft.

See also TRANSPORT - Air transport - Airport services: for air navigation support.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Air transport safety'@en,<http://registry.it.csiro.au/def/agldwg/agift/product-safety>,,
<http://registry.it.csiro.au/def/agldwg/agift/aircraft-standards>,'2003-08-26'^^xsd:date,"'Regulating the design, construction, maintenance and operation of any machine supported for flight - such as airplanes, helicopters, gliders or hot air balloons. Registering aircraft to ensure they meet agreed specifications and are fit to fly. Monitoring conformance through inspections, testing and licensing. Includes certification of personnel such as flight crews, pilots, aviation engineers and others engaged in the maintenance of aircraft and equipment.

See also SCIENCE - Applied sciences - Engineering and technology sciences: for research into the design and construction of aircraft.

See also SCIENCE - Earth sciences - Atmospheric sciences: for research into aerodynamics.'@en",'2015-06-11T06:56:27Z'^^xsd:dateTime,skos:Concept,'Aircraft standards'@en,,'Aeroplanes'@en|'Airplanes'@en|'Pilots'@en|'Airline pilots'@en,<http://registry.it.csiro.au/def/agldwg/agift/air-transport>,,"'Regulating the design, construction, maintenance and operation of any machine supported for flight - such as airplanes, helicopters, gliders or hot air balloons. Registering aircraft to ensure they meet agreed specifications and are fit to fly. Monitoring conformance through inspections, testing and licensing. Includes certification of personnel such as flight crews, pilots, aviation engineers and others engaged in the maintenance of aircraft and equipment.

See also SCIENCE - Applied sciences - Engineering and technology sciences: for research into the design and construction of aircraft.

See also SCIENCE - Earth sciences - Atmospheric sciences: for research into aerodynamics.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Aircraft standards'@en,<http://registry.it.csiro.au/def/agldwg/agift/engineering-and-technology-sciences>|<http://registry.it.csiro.au/def/agldwg/agift/atmospheric-sciences>,,
<http://registry.it.csiro.au/def/agldwg/agift/airport-services>,'2003-08-26'^^xsd:date,"'Managing facilities for aircraft take-off, landing and storage. Regulating air traffic and providing air navigation support. Monitoring air lanes and registering flight paths for private or commercial aircraft. Includes maintenance of airports and air transport infrastructure.

See also TRANSPORT - Air transport - Air transport safety: for regulation of security and screening procedures.

See also TRANSPORT - Passenger services: for managing the transportation of people by air.

See also TRANSPORT - Transport infrastructure development: for designing and installing transport systems.'@en",'2015-06-11T06:53:14Z'^^xsd:dateTime,skos:Concept,'Airport services'@en,,'Air traffic control'@en|'Runways'@en|'Air navigation'@en|'Airways'@en|'Airfields'@en|'Airports'@en|'Airstrips'@en|'Flight regulation'@en|'Landing strips'@en|'Aerodromes'@en|'Flight paths'@en,<http://registry.it.csiro.au/def/agldwg/agift/air-transport>,,"'Managing facilities for aircraft take-off, landing and storage. Regulating air traffic and providing air navigation support. Monitoring air lanes and registering flight paths for private or commercial aircraft. Includes maintenance of airports and air transport infrastructure.

See also TRANSPORT - Air transport - Air transport safety: for regulation of security and screening procedures.

See also TRANSPORT - Passenger services: for managing the transportation of people by air.

See also TRANSPORT - Transport infrastructure development: for designing and installing transport systems.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Airport services'@en,<http://registry.it.csiro.au/def/agldwg/agift/transport-network-maintenance>,,
<http://registry.it.csiro.au/def/agldwg/agift/ambulance-services>,'2003-08-28'^^xsd:date,"'Providing specially equipped vehicles and trained personnel to attend and transport sick or injured persons. Includes managing ambulance stations and attendance at special events.

See also COMMUNITY SERVICES - Natural disasters: for emergencies caused by the elements such as floods, earthquakes, and cyclones.

See also DEFENCE - Emergency management: for cross-jurisdictional operations to deal with large-scale emergencies.

See also EDUCATION AND TRAINING - Community education: for first aid training.'@en",'2015-06-11T07:24:13Z'^^xsd:dateTime,skos:Concept,'Ambulance services'@en,,'Aero-medical services'@en|'Emergency transport'@en|'Medical transport'@en,<http://registry.it.csiro.au/def/agldwg/agift/emergency-services>,,"'Providing specially equipped vehicles and trained personnel to attend and transport sick or injured persons. Includes managing ambulance stations and attendance at special events.

See also COMMUNITY SERVICES - Natural disasters: for emergencies caused by the elements such as floods, earthquakes, and cyclones.

See also DEFENCE - Emergency management: for cross-jurisdictional operations to deal with large-scale emergencies.

See also EDUCATION AND TRAINING - Community education: for first aid training.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Ambulance services'@en,<http://registry.it.csiro.au/def/agldwg/agift/emergency-management>|<http://registry.it.csiro.au/def/agldwg/agift/community-education>,,
<http://registry.it.csiro.au/def/agldwg/agift/animal-and-veterinary-sciences>,'2003-08-25'^^xsd:date,"'Conducting research into the health care and management of wild and domestic animals. Providing scientific advice on nutrition, breeding, diagnosis and treatment of diseases. Includes livestock, pets and other domestic animals, fish, birds and native animals - in the wild or in captivity.

See also PRIMARY INDUSTRIES - Chemical and pesticide regulation: for the registration and use of chemicals such as those used on livestock.

See also SCIENCE - Biological sciences - Entomology: for research into insects.

See also SCIENCE - Biological sciences - Physiology: for research into specific biological functions of animals.'@en",'2015-06-11T06:54:14Z'^^xsd:dateTime,skos:Concept,'Animal and veterinary sciences'@en,,'Veterinary science'@en|'Veterinary research'@en|'Animal sciences'@en|'Vet sciences'@en,<http://registry.it.csiro.au/def/agldwg/agift/science>,,"'Conducting research into the health care and management of wild and domestic animals. Providing scientific advice on nutrition, breeding, diagnosis and treatment of diseases. Includes livestock, pets and other domestic animals, fish, birds and native animals - in the wild or in captivity.

See also PRIMARY INDUSTRIES - Chemical and pesticide regulation: for the registration and use of chemicals such as those used on livestock.

See also SCIENCE - Biological sciences - Entomology: for research into insects.

See also SCIENCE - Biological sciences - Physiology: for research into specific biological functions of animals.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Animal and veterinary sciences'@en,<http://registry.it.csiro.au/def/agldwg/agift/pastoral-industry>|<http://registry.it.csiro.au/def/agldwg/agift/aquaculture-industry>|<http://registry.it.csiro.au/def/agldwg/agift/chemical-and-pesticide-regulation>|<http://registry.it.csiro.au/def/agldwg/agift/fisheries-industry>,,
